dt,metric_name,metric_value
20210217214013,Background CPU Usage Per Sec,0.102121617106582
20210217214013,Background Time Per Sec,0.0017019879719345
20210217214013,User Commits Per Sec,0.918810557968593
20210217214013,User Commits Percentage,100.0
20210217214013,Open Cursors Per Sec,128.817240227197
20210217214013,Open Cursors Per Txn,140.2
20210217214013,Redo Generated Per Sec,760.106916137654
20210217214013,Redo Generated Per Txn,827.272727272727
20210217214013,Logical Reads Per Sec,2378.11560307384
20210217214013,Logical Reads Per Txn,2588.25454545455
20210217214013,Executions Per Sec,127.831607083194
20210217214013,Executions Per Txn,139.127272727273
20210217214013,Physical Reads Per Sec,1206.36485131975
20210217214013,Physical Reads Per Txn,1312.96363636364
20210217214013,Physical Writes Per Sec,0.0
20210217214013,Physical Writes Per Txn,0.0
20210217214013,Physical Write Bytes Per Sec,0.0
20210217214013,Physical Write Total Bytes Per Sec,2189.64249916472
20210217214013,Physical Read Bytes Per Sec,9882540.86201136
20210217214013,Physical Read Total Bytes Per Sec,9884456.79919813
20210217214013,DB Block Changes Per Sec,4.64416972936853
20210217214013,DB Block Changes Per Txn,5.05454545454545
20210217214013,Total Parse Count Per Sec,128.800534580688
20210217214013,Total Parse Count Per Txn,140.181818181818
20210217214013,Hard Parse Count Per Sec,1.05245573003675
20210217214013,Hard Parse Count Per Txn,1.14545454545455
20210217214013,Soft Parse Ratio,99.1828793774319
20210217214013,Execute Without Parse Ratio,0.0
20210217214013,Parse Failure Count Per Sec,0.0167056465085199
20210217214013,Logons Per Sec,0.0
20210217214013,Logons Per Txn,0.0
20210217214013,User Transaction Per Sec,0.918810557968593
20210217214013,User Calls Per Sec,3.67524223187437
20210217214013,User Calls Per Txn,4.0
20210217214013,User Rollbacks Per Sec,0.0
20210217214013,User Rollbacks Percentage,0.0
20210217214013,Current Logons Count,3.0
20210217214013,Current Open Cursors Count,41.0
20210217214013,Network Traffic Volume Per Sec,1039.17474106248
20210217214013,Database Wait Time Ratio,0.881905001490849
20210217214013,Database CPU Time Ratio,99.1180949985092
20210217214013,SQL Service Response Time,0.0493930161054173
20210217214013,Response Time Per Txn,110.406861818182
20210217214112,Session Count,6.0
20210217214112,PQ QC Session Count,0.0
20210217214112,PQ Slave Session Count,0.0
20210217214112,Average Active Sessions,0.994794254217471
20210217214112,Active Serial Sessions,1.0
20210217214112,Active Parallel Sessions,0.0
20210217214112,CPU Usage Per Sec,98.294772006013
20210217214112,CPU Usage Per Txn,108.979777777778
20210217214112,Background CPU Usage Per Sec,0.0378887589777852
20210217214112,Background Time Per Sec,0.0004873893435777
20210217214112,User Commits Per Sec,0.901954234174044
20210217214112,User Commits Percentage,100.0
20210217214112,Open Cursors Per Sec,2.22147987305829
20210217214112,Open Cursors Per Txn,2.46296296296296
20210217214112,Redo Generated Per Sec,630.232169701019
20210217214112,Redo Generated Per Txn,698.740740740741
20210217214112,Logical Reads Per Sec,1276.34875563721
20210217214112,Logical Reads Per Txn,1415.09259259259
20210217214112,Executions Per Sec,1.43644563220311
20210217214112,Executions Per Txn,1.59259259259259
20210217214112,Physical Reads Per Sec,1257.37431100718
20210217214112,Physical Reads Per Txn,1394.05555555556
20210217214112,Physical Writes Per Sec,0.0
20210217214112,Physical Writes Per Txn,0.0
20210217214112,Physical Write Bytes Per Sec,0.0
20210217214112,Physical Write Total Bytes Per Sec,2189.27676632704
20210217214112,Physical Read Bytes Per Sec,10300410.3557708
20210217214112,Physical Read Total Bytes Per Sec,10302325.9729414
20210217214112,DB Block Changes Per Sec,3.99198262902956
20210217214112,DB Block Changes Per Txn,4.42592592592593
20210217214112,Total Parse Count Per Sec,2.22147987305829
20210217214112,Total Parse Count Per Txn,2.46296296296296
20210217214112,Hard Parse Count Per Sec,0.901954234174044
20210217214112,Hard Parse Count Per Txn,1.0
20210217214112,Soft Parse Ratio,59.3984962406015
20210217214112,Execute Without Parse Ratio,0.0
20210217214112,Parse Failure Count Per Sec,0.0
20210217214112,Logons Per Sec,0.0334057123768164
20210217214112,Logons Per Txn,0.037037037037037
20210217214112,User Transaction Per Sec,0.901954234174044
20210217214112,User Calls Per Sec,4.02538834140638
20210217214112,User Calls Per Txn,4.46296296296296
20210217214112,User Rollbacks Per Sec,0.0
20210217214112,User Rollbacks Percentage,0.0
20210217214112,Current Logons Count,3.0
